Change Physical Footprint: Designator=A1 Old Footprint=HDR1X9 New Footprint=HDR1X9
Change Physical Footprint: Designator=C1 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C2 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C3 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=IC1 Old Footprint=SOP64P600X175-28N New Footprint=SOP64P600X175-28N
Change Physical Footprint: Designator=IN1 Old Footprint=USB-2.0-TYPE-A New Footprint=USB-2.0-TYPE-A
Change Physical Footprint: Designator=J1 Old Footprint=USB-2.0-TYPE-A New Footprint=USB-2.0-TYPE-A
Change Physical Footprint: Designator=J2 Old Footprint=USB-2.0-TYPE-A New Footprint=USB-2.0-TYPE-A
Change Physical Footprint: Designator=J3 Old Footprint=USB-2.0-TYPE-A New Footprint=USB-2.0-TYPE-A
Change Physical Footprint: Designator=J4 Old Footprint=USB-2.0-TYPE-A New Footprint=USB-2.0-TYPE-A
Change Physical Footprint: Designator=L1 Old Footprint=HDR1X3 New Footprint=HDR1X3
Change Physical Footprint: Designator=L2 Old Footprint=HDR1X3 New Footprint=HDR1X3
Change Physical Footprint: Designator=O1 Old Footprint=HC-49USX New Footprint=HC-49USX
Change Physical Footprint: Designator=P1 Old Footprint=PJ031DH New Footprint=PJ031DH
Change Physical Footprint: Designator=P2 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=R1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R9 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=S1 Old Footprint=MHS122K New Footprint=MHS122K
Change Physical Footprint: Designator=T1 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T2 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T3 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T4 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T5 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T6 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T7 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
Change Physical Footprint: Designator=T8 Old Footprint=TO255P460X1020X2008-3P New Footprint=TO255P460X1020X2008-3P
