"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"Y101","HC-49USX",1,"ECS-120-20-4",,,
2,"S101","TL2201EEYA",1,"TL2201EEYA",,,
3,"R902,R802,R702,R602","RESC2012X60N",4,"RK73B2ATTD151J",,,
4,"R901,R801,R701,R601,R502,R501,R402,R401,R302,R301,R202,R201","RESC2012X60N",12,"RK73B2ATTD221J",,,
5,"R103,R102,R101","RESC2012X60N",3,"RK73H2ATTD2701F",,,
6,"Q901,Q801,Q701,Q601,Q502,Q501,Q402,Q401,Q302,Q301,Q202,Q201","SOT95P280X125-3N",12,"AO3414",,,
7,"LED901,LED801,LED701,LED601","LEDC2012X90N",4,"VFHR1112H-3BY2A-TR",,,
8,"J901,J801,J701,J601,J102","USBA1HSW6",5,"USB-A1HSW6",,,
9,"J501,J401,J301,J201","SHDRV3W50P0_125_1X3_550X320X420P",4,"0530470310",,,
10,"J104","PJ031DH",1,"PJ-031DH",,,
11,"J103","TST-110-XX-Y-D",1,"TST-110-01-G-D",,,
12,"J101","PJ037A",1,"PJ-037A",,,
13,"IC101","SOP64P600X175-28N",1,"FE1.1S",,,
14,"C104,C102,C101","CAPC2012X145N",3,"GRM21BC81D106KE51L",,,
